Product_ID,Name,Category,Sub-category,Supplier_ID,Cost,Product Specifications,Ratings,Reviews
P00026,Wireless Headphones,Electronics,Audio,SUP26,59.99,"Bluetooth, Noise-canceling",4.6,Great sound quality
P00027,Vitamin Supplements,Health,Wellness,SUP27,19.99,"Multivitamins, 60 capsules",4.5,Effective supplement
P00028,High-performance Laptop,Electronics,Computers,SUP28,799.99,"16GB RAM, 256GB SSD",4.7,Fast and reliable
P00029,Garden Hose,Home Goods,Gardening,SUP29,29.99,"50 ft, Flexible",4.3,Durable and kink-resistant
P00030,Fresh Salmon,Food,Seafood,SUP30,12.99,"Wild-caught, 1 lb",4.8,Fresh and flavorful
P00031,Modern Denim Jacket,Clothing,Jackets,SUP31,69.99,"Denim, Size M-L",4.2,Stylish and durable
P00032,Innovative Smartwatch,Electronics,Wearables,SUP32,149.99,"Heart Rate, GPS, Waterproof",4.5,Versatile and accurate
P00033,Organic Almonds,Grocery,Nuts,SUP33,10.99,"Raw, 1 lb",4.6,Fresh and healthy
P00034,Athletic Sneakers,Clothing,Footwear,SUP34,59.99,"Running, Size 8-12",4.3,Comfortable for sports
P00035,Educational Toy Set,Toys,Education,SUP35,29.99,"Ages 3-5, Learning",4.7,Fun and educational
P00036,Gourmet Pasta,Grocery,Specialty Foods,SUP36,4.99,"Organic, 500g",4.4,Delicious and easy to cook
P00037,Wellness Vitamins,Health,Supplements,SUP37,15.99,"Multivitamin, 60 capsules",4.5,Effective and beneficial
P00038,Power Drill Set,Tools,Power Tools,SUP38,89.99,"Cordless, 18V, Multiple heads",4.3,Powerful and versatile
P00039,LED Television,Electronics,TVs,SUP39,299.99,"4K, 55 inch",4.6,Clear picture quality
P00040,Office Desk,Home Goods,Furniture,SUP40,199.99,"Wood, 5ft, Drawers",4.4,Sturdy and spacious
P00041,Solar Panel Kit,Electronics,Sustainable Tech,SUP41,149.99,"100W, DIY installation",4.8,Eco-friendly and efficient
P00042,Car Stereo System,Auto,Accessories,SUP42,99.99,"Bluetooth, Handsfree",4.5,"Great sound, easy install"
P00043,Dog Bed,Pets,Beds,SUP43,39.99,"Large, Washable",4.7,Comfortable and durable
P00044,Designer Handbag,Clothing,Accessories,SUP44,199.99,"Leather, Various colors",4.6,Elegant and high quality
P00045,Camping Stove,Outdoor,Cooking,SUP45,59.99,"Portable, Propane",4.4,Convenient for outdoor cooking
P00046,Non-stick Cookware Set,Home Goods,Kitchenware,SUP46,79.99,"10 piece, Dishwasher safe",4.5,"Easy to clean, durable"
P00047,Skincare Serum,Beauty,Skincare,SUP47,24.99,"Anti-aging, 30ml",4.8,Effective and gentle
P00048,Bestselling Novel,Books,Fiction,SUP48,12.99,"Paperback, 300 pages",4.7,Captivating and well-written
P00049,Wall Art,Home Goods,Decor,SUP49,45.99,"Canvas, 24x36 inches",4.6,Beautiful and modern
P00050,Bluetooth Speaker,Electronics,Audio,SUP50,49.99,"Portable, Waterproof",4.7,Excellent sound quality
P00051,Acoustic Guitar,Music,Instruments,SUP51,199.99,"Wooden, 6 strings",4.8,Great tone and build
P00052,Yoga Mat,Sports,Fitness,SUP52,29.99,"Non-slip, 6mm",4.9,Comfortable and durable
P00053,Printer Cartridge,Office,Supplies,SUP53,34.99,"Inkjet, Black",4.3,Long-lasting and clear prints
P00054,Organic Cereal,Grocery,Breakfast,SUP54,3.99,"Gluten-free, 500g",4.6,Healthy and tasty
P00055,Tool Set,Tools,Hand Tools,SUP55,69.99,"20-piece, Variety of sizes",4.4,Comprehensive and handy
P00056,Casual T-shirt,Clothing,Tops,SUP56,19.99,"Cotton, Various sizes",4.5,Soft and comfortable
P00057,Laptop Bag,Electronics,Accessories,SUP57,39.99,"Padded, Fits 15-inch laptops",4.6,Stylish and functional
P00058,Art Supplies Kit,Arts,Crafts,SUP58,24.99,"Pencils, Paints, Brushes",4.8,Great for beginners
P00059,Power Washer,Home Goods,Tools,SUP59,129.99,"Electric, High pressure",4.7,Efficient and powerful
P00060,Garden Furniture Set,Home Goods,Outdoor,SUP60,299.99,"Metal, 4 seats",4.6,Sturdy and elegant
P00061,Adventure Backpack,Outdoor,Camping,SUP45,49.99,"30L, Waterproof",4.6,Durable and spacious
P00062,Gourmet Olive Oil,Grocery,Cooking Essentials,SUP36,12.99,"Extra virgin, 500ml",4.8,Rich flavor
P00063,Portable Blender,Home Goods,Kitchen Appliances,SUP14,29.99,"Battery-operated, 300ml",4.5,Convenient for travel
P00064,Luxury Facial Cream,Beauty,Skin Care,SUP07,59.99,"50ml, Anti-aging formula",4.7,Nourishes and revitalizes
P00065,Organic Quinoa,Grocery,Grains,SUP33,5.99,"Gluten-free, 1 lb",4.5,Nutritious and easy to cook
P00066,Ergonomic Office Chair,Office,Furniture,SUP40,129.99,"Adjustable, Lumbar support",4.4,Comfortable for long hours
P00067,Electric Skateboard,Sports,Outdoor Recreation,SUP80,199.99,"Wireless remote, 15 mph",4.7,Fun and fast
P00068,Smart Home Hub,Electronics,Smart Home,SUP39,89.99,"Voice control, Wi-Fi",4.6,Integrates well with devices
P00069,Designer Sunglasses,Fashion,Accessories,SUP44,99.99,"UV protection, Polarized",4.8,Stylish and protective
P00070,Wireless Earbuds,Electronics,Audio,SUP26,39.99,"Bluetooth 5.0, Noise-cancelling",4.7,Clear sound quality
P00071,Eco-Friendly Yoga Mat,Sports,Fitness,SUP81,24.99,"Non-toxic material, 6mm",4.9,Grippy and sustainable
P00072,Action Camera,Electronics,Cameras,SUP32,119.99,"4K, Waterproof",4.5,Great for adventure sports
P00073,Kids Educational Tablet,Toys,Electronics,SUP35,69.99,"Parental controls, Learning apps",4.6,Educational and fun
P00074,Protein Powder,Health,Supplements,SUP37,29.99,"Whey, 1 kg, Vanilla",4.8,"Builds muscle, tastes great"
P00075,Electric Toothbrush,Personal Care,Dental,SUP47,49.99,"Rechargeable, Timer",4.7,Efficient cleaning
P00076,Modern Floor Lamp,Home Goods,Lighting,SUP21,79.99,"LED, Adjustable height",4.5,Elegant and bright
P00077,Leather Wallet,Fashion,Accessories,SUP44,29.99,"Genuine leather, Multiple slots",4.7,Durable and sleek
P00078,Organic Cotton Sheets,Home Goods,Bedding,SUP02,59.99,"Queen size, 400 thread count",4.6,Soft and comfortable
P00079,High-Speed Router,Electronics,Networking,SUP57,99.99,"Wi-Fi 6, Dual-band",4.8,Fast and reliable
P00080,Artisan Bread Maker,Home Goods,Kitchen Appliances,SUP14,129.99,"Multiple settings, 2 lb loaf",4.7,"Easy to use, great results"
P00081,Fitness Smartwatch,Sports,Technology,SUP52,149.99,"Heart rate, GPS, Waterproof",4.8,Accurate and durable
P00082,Handcrafted Coffee Mug,Home Goods,Kitchenware,SUP49,14.99,"Ceramic, 12 oz",4.6,Unique and sturdy
P00083,LED Desk Lamp,Office,Accessories,SUP21,34.99,"Dimmable, USB charging",4.7,Versatile and modern
P00084,Organic Dog Food,Pets,Food,SUP23,39.99,"Chicken, 20 lb",4.8,Healthy and dogs love it
P00085,Acoustic Guitar,Music,Instruments,SUP51,199.99,"Wooden, Full size",4.9,"Great sound, well-built"
P00086,Running Shoes,Sports,Footwear,SUP34,59.99,"Breathable, Size 9-11",4.7,Lightweight and supportive
P00087,Drone with Camera,Electronics,Drones,SUP83,249.99,"1080p, 20min flight time",4.8,"Easy to fly, great footage"
P00088,Travel Backpack,Outdoor,Gear,SUP45,69.99,"40L, Laptop compartment",4.7,Spacious and durable
P00089,Linen Dress,Clothing,Women's Wear,SUP31,49.99,"Summer, Size S-M",4.6,Cool and comfortable
P00090,Bluetooth Keyboard,Electronics,Accessories,SUP28,29.99,"Wireless, Compact",4.7,Responsive and portable
P00091,Stainless Steel Cookware Set,Home Goods,Cookware,SUP46,149.99,"10-piece, Induction compatible",4.8,High-quality and versatile
P00092,Elegant Table Lamp,Home Goods,Decor,SUP24,59.99,"Ceramic base, Fabric shade",4.6,Adds a cozy touch
P00093,Camping Sleeping Bag,Outdoor,Camping,SUP45,39.99,"0°F, Waterproof",4.7,Warm and comfortable
P00094,Organic Body Wash,Personal Care,Hygiene,SUP07,9.99,"500ml, Lavender scent",4.8,Gentle and relaxing
P00095,Hybrid Bicycle,Sports,Cycling,SUP80,299.99,"21-speed, Aluminum frame",4.7,"Smooth ride, durable"
P00096,Gourmet Cheese,Grocery,Dairy,SUP36,8.99,"Aged Cheddar, 8 oz",4.9,Rich and flavorful
P00097,Compact Juicer,Home Goods,Kitchen Appliances,SUP14,49.99,"500W, 2-speed",4.6,"Easy to clean, efficient"
P00098,Graphic Novel,Books,Comics,SUP48,19.99,"Hardcover, 200 pages",4.8,"Visually stunning, great story"
P00099,Silk Scarf,Fashion,Accessories,SUP31,24.99,"100% Silk, Various patterns",4.7,Elegant and soft
P00100,Water Filter Pitcher,Home Goods,Kitchenware,SUP49,29.99,"10 cup, BPA-free",4.6,Effective and easy to use
P00101,Mountain Bike,Sports,Cycling,SUP34,399.99,"27-inch, 21-speed",4.7,Durable and smooth ride
P00102,Wireless Mouse,Electronics,Accessories,SUP11,24.99,"Ergonomic, USB rechargeable",4.5,Responsive and comfortable
P00103,Professional Hair Dryer,Beauty,Hair Care,SUP07,59.99,"Ionic, 1800W",4.6,"Quick drying, less frizz"
P00104,Fruit Blender,Home Goods,Kitchen Appliances,SUP14,34.99,"500W, 1L capacity",4.4,Efficient and easy to clean
P00105,Organic Cotton Shirts,Clothing,Men's Wear,SUP31,29.99,"Breathable, Sizes M-L",4.6,Soft and eco-friendly
P00106,Compact Flashlight,Outdoor,Equipment,SUP06,14.99,"LED, 200 lumens",4.7,Bright and durable
P00107,Running Leggings,Fashion,Activewear,SUP77,39.99,"Stretchable, Sizes S-L",4.8,Comfortable for workouts
P00108,Stainless Steel Kettle,Home Goods,Kitchenware,SUP46,29.99,"1.5L, Cordless",4.5,"Quick boiling, stylish"
P00109,Smart Thermostat,Electronics,Smart Home,SUP39,199.99,"Wi-Fi, Energy-saving",4.8,"Easy control, efficient"
P00110,Travel Suitcase,Travel,Luggage,SUP36,89.99,"Hardshell, 28 inches",4.6,Spacious and durable
P00111,Leather Dress Shoes,Fashion,Footwear,SUP56,79.99,"Genuine leather, Sizes 9-12",4.7,Elegant and comfortable
P00112,Portable Charger,Electronics,Power Banks,SUP28,19.99,"10000mAh, Dual USB",4.8,"Fast charging, compact"
P00113,Organic Baby Food,Grocery,Baby Products,SUP08,2.99,"Pureed, 6 months+",4.9,Healthy and natural
P00114,Cordless Vacuum Cleaner,Home Goods,Appliances,SUP40,149.99,"Lightweight, Bagless",4.7,Powerful and convenient
P00115,Designer Sunglasses,Fashion,Accessories,SUP44,99.99,"Polarized, UV protection",4.8,Stylish and protective
P00116,Drone with HD Camera,Electronics,Drones,SUP83,349.99,"1080p, 30min flight time",4.9,Stable and clear footage
P00117,Espresso Machine,Home Goods,Kitchen Appliances,SUP14,199.99,"15-bar, Milk frother",4.8,Barista-quality coffee
P00118,Camping Cookware Set,Outdoor,Cooking,SUP45,49.99,"Non-stick, Lightweight",4.7,Perfect for camping trips
P00119,Gaming Keyboard,Electronics,Peripherals,SUP11,59.99,"Mechanical, RGB backlight",4.8,Responsive and flashy
P00120,Boxing Gloves,Sports,Boxing,SUP80,29.99,"Padded, 12 oz",4.6,Comfortable and protective
P00121,Skin Care Set,Beauty,Skin Care,SUP47,49.99,"Cleanser, Toner, Moisturizer",4.7,"Complete routine, nourishing"
P00122,Wall Clock,Home Goods,Decor,SUP49,24.99,"12-inch, Modern design",4.5,Elegant and accurate
P00123,Wireless Headphones,Electronics,Audio,SUP26,49.99,"Over-ear, Noise-canceling",4.7,"Great sound, comfortable"
P00124,Fitness Tracker,Sports,Technology,SUP52,59.99,"Heart rate, Sleep monitor",4.8,Accurate and motivating
P00125,Digital Camera,Electronics,Photography,SUP32,199.99,"20MP, 5x zoom",4.7,"High-quality images, easy to use"
P00126,Casual Sneakers,Fashion,Footwear,SUP56,49.99,"Canvas, Sizes 7-11",4.6,Stylish and versatile
P00127,Electric Kettle,Home Goods,Kitchen Appliances,SUP14,25.99,"1.7L, Auto shut-off",4.5,Quick and safe
P00128,Graphic T-shirt,Clothing,Casual Wear,SUP31,19.99,"Cotton, Various designs",4.6,Trendy and comfortable
P00129,Yoga Pants,Sports,Apparel,SUP81,34.99,"Stretchable, Sizes S-L",4.7,Flexible and durable
P00130,Robotic Vacuum Cleaner,Home Goods,Appliances,SUP40,249.99,"Auto-charging, App control",4.8,Efficient and smart
P00131,Hiking Boots,Outdoor,Footwear,SUP45,79.99,"Waterproof, Sizes 8-12",4.7,Sturdy and comfortable
P00132,Hand Mixer,Home Goods,Kitchen Appliances,SUP14,19.99,"5-speed, Attachments included",4.6,Convenient and powerful
P00133,LED Night Light,Home Goods,Lighting,SUP21,9.99,"Motion sensor, Soft glow",4.7,"Energy-efficient, safe"
P00134,High-Performance Laptop,Electronics,Computers,SUP28,899.99,"16GB RAM, 512GB SSD",4.8,Fast and reliable
P00135,Organic Body Lotion,Beauty,Skin Care,SUP07,14.99,"Hydrating, 250ml",4.6,"Nourishing, absorbs quickly"
P00136,Bluetooth Speaker,Electronics,Audio,SUP26,59.99,"Portable, Waterproof",4.7,"Great sound, durable"
P00137,Women's Running Shoes,Sports,Footwear,SUP34,69.99,"Lightweight, Sizes 6-9",4.8,Supportive and comfortable
P00138,Cooking Pot Set,Home Goods,Cookware,SUP46,99.99,"Stainless steel, 3-piece",4.7,"Durable, even heating"
P00139,Travel Guide Book,Books,Travel,SUP48,19.99,"Illustrated, 300 pages",4.8,Informative and engaging
P00140,Electric Scooter,Outdoor,Transport,SUP80,299.99,"15 mph, 15-mile range",4.7,Fun and eco-friendly
P00141,Tablet Computer,Electronics,Tablets,SUP05,299.99,"10-inch, 64GB",4.7,Powerful and versatile
P00142,Organic Herbal Tea,Grocery,Beverages,SUP08,4.99,"Green tea, 20 bags",4.6,Refreshing and healthy
P00143,Designer Jeans,Fashion,Men's Wear,SUP31,79.99,"Denim, Sizes 30-36",4.7,Stylish and durable
P00144,Camping Tent,Outdoor,Camping,SUP45,149.99,"4-person, Waterproof",4.8,Spacious and easy to set up
P00145,Electric Guitar,Music,Instruments,SUP51,399.99,"Solid body, 6 strings",4.9,Excellent sound quality
P00146,Smart Security Camera,Electronics,Security,SUP39,99.99,"Wi-Fi, HD, Night vision",4.7,Secure and easy to install
P00147,Baseball Glove,Sports,Baseball,SUP80,49.99,"Leather, 12-inch",4.6,Comfortable and durable
P00148,Pressure Cooker,Home Goods,Kitchen Appliances,SUP14,89.99,"6L, Stainless steel",4.7,"Fast cooking, easy to use"
P00149,Wireless Game Controller,Electronics,Gaming,SUP32,59.99,"Bluetooth, Rechargeable",4.8,Responsive and ergonomic
P00150,Cotton Bath Towels,Home Goods,Bathroom,SUP03,19.99,"Soft, 30x60 inches",4.5,Absorbent and plush
P00151,Waterproof Backpack,Travel,Gear,SUP45,69.99,"30L, Durable",4.7,Ideal for outdoor activities
P00152,Noise-Cancelling Headphones,Electronics,Audio,SUP26,149.99,"Wireless, Over-ear",4.8,Superb sound isolation
P00153,Eco-Friendly Yoga Pants,Fashion,Activewear,SUP02,49.99,"Recycled material, S-L sizes",4.7,Comfortable and sustainable
P00154,LED Grow Light,Gardening,Equipment,SUP29,59.99,"Full spectrum, 50W",4.6,Promotes plant growth
P00155,Luxury Watch,Fashion,Accessories,SUP94,249.99,"Stainless steel, Water-resistant",4.8,Elegant and precise
P00156,Gourmet Coffee Beans,Grocery,Coffee,SUP08,14.99,"Whole bean, 1 lb",4.7,Rich and aromatic
P00157,Running Tights,Sports,Apparel,SUP80,39.99,"Moisture-wicking, S-L sizes",4.6,Supportive and breathable
P00158,Bluetooth Keyboard and Mouse,Electronics,Peripherals,SUP11,49.99,"Wireless, Rechargeable",4.7,Convenient and sleek
P00159,Professional Makeup Kit,Beauty,Cosmetics,SUP07,99.99,"Full set, Various shades",4.8,"High quality, long-lasting"
P00160,Organic Baby Onesies,Clothing,Baby Wear,SUP02,19.99,"100% Cotton, 0-12 months",4.7,Soft and gentle on skin
P00161,Smart Doorbell,Electronics,Home Security,SUP39,129.99,"HD video, Two-way audio",4.8,Secure and user-friendly
P00162,Telescopic Fishing Rod,Sports,Fishing,SUP80,34.99,"Carbon fiber, Portable",4.7,Lightweight and durable
P00163,LED Light Bulbs,Home Goods,Lighting,SUP21,7.99,"60W equivalent, 6-pack",4.6,Energy-efficient and bright
P00164,Leather Messenger Bag,Fashion,Accessories,SUP31,89.99,"Genuine leather, Laptop compartment",4.8,Stylish and practical
P00165,Insulated Water Bottle,Sports,Fitness,SUP52,19.99,"Stainless steel, 32oz",4.7,Keeps drinks hot or cold
P00166,Electric Skateboard,Sports,Outdoor Recreation,SUP80,249.99,"20 mph, 10-mile range",4.8,Fun and fast
P00167,Indoor Plant Pot,Gardening,Decor,SUP24,14.99,"Ceramic, 8 inches",4.6,Modern and durable
P00168,Organic Spice Set,Grocery,Cooking Essentials,SUP08,24.99,"Assorted, 6-pack",4.7,Flavorful and natural
P00169,Solar Garden Lights,Outdoor,Lighting,SUP41,29.99,"Pack of 4, Auto on/off",4.7,"Eco-friendly, decorative"
P00170,Smart Fitness Scale,Health,Wellness,SUP27,39.99,"Bluetooth, Body composition",4.8,Accurate and informative
P00171,Digital Photo Frame,Electronics,Home Decor,SUP39,59.99,"10-inch, Wi-Fi",4.7,"Easy to use, great display"
P00172,Handcrafted Leather Boots,Fashion,Footwear,SUP56,99.99,"Genuine leather, Sizes 8-12",4.9,Quality craftsmanship
P00173,Fitness Jump Rope,Sports,Fitness,SUP52,12.99,"Adjustable, Weighted handles",4.6,Effective for workouts
P00174,Organic Face Serum,Beauty,Skin Care,SUP07,34.99,"Vitamin C, 30ml",4.8,Brightens and revitalizes skin
P00175,Cast Iron Skillet,Home Goods,Cookware,SUP14,39.99,"Pre-seasoned, 10 inch",4.7,"Heats evenly, lasts long"
P00176,Dumbbell Set,Sports,Fitness,SUP52,49.99,"Adjustable, Total 20kg",4.8,Versatile and space-saving
P00177,Laptop Cooling Pad,Electronics,Accessories,SUP11,24.99,"USB powered, Adjustable height",4.6,Prevents overheating
P00178,Travel Guide Europe,Books,Travel,SUP48,22.99,"Updated edition, Maps included",4.7,Informative and detailed
P00179,Smart Light Switch,Electronics,Smart Home,SUP39,29.99,"Wi-Fi, Voice control",4.7,Convenient and modern
P00180,Organic Lip Balm,Beauty,Personal Care,SUP47,4.99,"Beeswax, 4-pack",4.8,Moisturizing and natural
P00181,Wireless Earbuds,Electronics,Audio,SUP05,129.99,"Noise-cancelling, Bluetooth 5.0",4.7,"Crisp sound, comfortable fit"
P00182,Organic Bath Soap,Beauty,Personal Care,SUP07,5.99,"Natural ingredients, 100g",4.6,Gentle and moisturizing
P00183,Smart Thermostat,Home Goods,Smart Home,SUP39,199.99,"Wi-Fi, Energy saving",4.8,"Easy control, efficient"
P00184,Mountain Bike,Sports,Cycling,SUP80,299.99,"21-speed, Aluminum frame",4.7,Sturdy and reliable
P00185,Ceramic Dinner Set,Home Goods,Kitchenware,SUP03,59.99,"16-piece, Dishwasher safe",4.6,"Elegant, durable"
P00186,Portable Projector,Electronics,Home Theater,SUP01,249.99,"HD, Wi-Fi enabled",4.8,Compact and powerful
P00187,Kitchen Knife Set,Home Goods,Cookware,SUP14,79.99,"Stainless steel, 6-piece",4.7,Sharp and ergonomic
P00188,Gaming Mouse,Electronics,Peripherals,SUP11,49.99,"High precision, RGB lighting",4.8,"Responsive, comfortable"
P00189,Sports Water Bottle,Sports,Fitness,SUP52,14.99,"1L, Leak-proof",4.6,"Durable, convenient"
P00190,Digital SLR Camera,Electronics,Photography,SUP32,499.99,"24MP, 18-55mm lens",4.8,"High quality, user-friendly"
P00191,Leather Wallet,Fashion,Accessories,SUP31,29.99,"Genuine leather, Multiple slots",4.7,Sleek and practical
P00192,Children's Storybook,Books,Children,SUP48,9.99,"Illustrated, 32 pages",4.8,Engaging and educational
P00193,Silk Bed Sheets,Home Goods,Bedding,SUP02,99.99,"Queen size, 100% silk",4.7,"Luxurious, comfortable"
P00194,Hand Blender,Home Goods,Kitchen Appliances,SUP14,29.99,"Multi-speed, Stainless steel",4.6,"Versatile, easy to clean"
P00195,LED Desk Lamp,Home Goods,Lighting,SUP21,39.99,"Adjustable, Touch control",4.7,"Bright, energy-saving"
P00196,Running Jacket,Sports,Apparel,SUP80,59.99,"Water-resistant, Reflective",4.8,"Lightweight, stylish"
P00197,Bluetooth Tracker,Electronics,Accessories,SUP05,24.99,"Key finder, App integrated",4.7,"Convenient, reliable"
P00198,Air Purifier,Home Goods,Appliances,SUP39,129.99,"HEPA filter, Quiet operation",4.8,"Effective, easy to use"
P00199,Solar-Powered Watch,Fashion,Watches,SUP94,199.99,"Eco-friendly, Water-resistant",4.9,"Innovative, durable"
P00200,Aromatherapy Diffuser,Home Goods,Wellness,SUP47,34.99,"Ultrasonic, 7 LED colors",4.7,"Relaxing, stylish"
P00201,Hammock with Stand,Outdoor,Camping,SUP45,89.99,"Portable, Easy setup",4.8,"Comfortable, durable"
P00202,Electric Juicer,Home Goods,Kitchen Appliances,SUP14,49.99,"800W, 2-speed",4.6,"Efficient, easy to clean"
P00203,4K Smart TV,Electronics,Televisions,SUP01,799.99,"55-inch, HDR",4.8,"Vivid picture, smart features"
P00204,Acoustic Guitar,Music,Instruments,SUP51,149.99,"Full size, Spruce top",4.7,"Rich sound, well-crafted"
P00205,Wireless Mouse,Electronics,Peripherals,SUP11,19.99,"Ergonomic, Battery-powered",4.6,"Smooth, reliable"
P00206,Leather Briefcase,Fashion,Bags,SUP31,129.99,"Premium leather, Laptop compartment",4.8,"Professional, spacious"
P00207,Fitness Tracker,Sports,Fitness,SUP52,59.99,"Heart rate, Activity tracking",4.7,"Accurate, motivating"
P00208,Yoga Mat,Sports,Yoga,SUP81,29.99,"Non-slip, Eco-friendly",4.8,"Comfortable, durable"
P00209,E-reader,Electronics,Reading Devices,SUP01,99.99,"6-inch, Backlit",4.7,"Portable, eye-friendly"
P00210,Cotton T-Shirts,Fashion,Men's Wear,SUP02,14.99,"Soft, Various colors",4.6,"Comfortable, classic"
P00211,Vacuum Cleaner,Home Goods,Appliances,SUP39,149.99,"Bagless, Multi-surface",4.8,"Powerful, easy to use"
P00212,Portable Speaker,Electronics,Audio,SUP26,69.99,"Bluetooth, Waterproof",4.7,"Loud, clear sound"
P00213,Board Game,Toys,Games,SUP88,29.99,"Strategy, 2-4 players",4.6,"Fun, challenging"
P00214,Hiking Boots,Outdoor,Footwear,SUP42,99.99,"Waterproof, Durable",4.8,"Comfortable, rugged"
P00215,Smartwatch,Fashion,Tech Accessories,SUP05,199.99,"Fitness tracking, Notifications",4.7,"Stylish, functional"
P00216,Drone,Electronics,Remote Control,SUP83,299.99,"HD camera, Easy to fly",4.9,"Exciting, high-tech"
P00217,Organic Body Lotion,Beauty,Skin Care,SUP07,14.99,"Moisturizing, Natural ingredients",4.6,"Nourishing, gentle"
P00218,Travel Pillow,Travel,Accessories,SUP35,19.99,"Memory foam, Neck support",4.7,"Comfortable, portable"
P00219,Espresso Machine,Home Goods,Kitchen Appliances,SUP14,149.99,"15-bar pressure, Milk frother",4.8,"Delicious coffee, easy to use"
P00220,Smart Lock,Electronics,Home Security,SUP39,179.99,"Wi-Fi, Keyless entry",4.7,"Secure, convenient"
P00221,Garden Lounger,Outdoor,Furniture,SUP60,89.99,"Adjustable, Weather-resistant",4.5,Comfortable and stylish
P00222,Performance T-shirt,Sports,Sportswear,SUP61,24.99,"Moisture-wicking, Size M-L",4.3,Breathable and durable
P00223,Chef's Knife,Kitchenware,Cutlery,SUP62,49.99,"Stainless steel, 8-inch blade",4.7,Sharp and well-balanced
P00224,Luxury Fabric Bundle,Fabrics,Textiles,SUP63,59.99,"Assorted patterns, 5 yards",4.6,"High quality, vibrant colors"
P00225,Decorative Plant Pot,Gardening,Decor,SUP64,14.99,"Ceramic, 10 inches",4.4,Elegant and sturdy
P00226,Eco Cleaning Kit,Cleaning,Supplies,SUP65,29.99,"Biodegradable, Multi-purpose",4.5,Effective and eco-friendly
P00227,Smartwatch Gadget,Tech,Gadgets,SUP66,149.99,"Touchscreen, Fitness tracking",4.6,Innovative and useful
P00228,Wooden Puzzle Toy,Toys,Games,SUP67,19.99,"Educational, Ages 2-4",4.7,Fun and stimulating
P00229,Leisure Hammock,Leisure,Outdoor,SUP68,59.99,"Portable, Cotton",4.3,Relaxing and durable
P00230,Cordless Drill,Tools,Power Tools,SUP69,79.99,"18V, Rechargeable battery",4.6,Efficient and powerful
P00231,Organic Protein Bar,Food,Health,SUP70,2.99,"Gluten-free, 10g protein",4.8,Tasty and nutritious
P00232,Ergonomic Keyboard,Office,Technology,SUP71,49.99,"Wireless, Backlit",4.4,Comfortable and responsive
P00233,Cat Toy Set,Pets,Toys,SUP72,14.99,"Assorted, Interactive",4.5,Entertaining and safe
